Business.DeclareBankruptcy business.decbank
Business.End business.endbus
Business.Merge business.merge
Business.Start business.startbus
Conflict.Attack conflict.attack
Conflict.Demonstrate conflict.demonstrate
Contact.Broadcast contact.broadcast
Contact.Contact contact.contact
Contact.Correspondence contact.corresp
Contact.Meet contact.meet
Existence.DamageDestroy existence.damagedestroy
Government.Agreements government.agreements
Government.Legislate government.legislate
Government.Spy government.spy
Government.Vote government.vote
Inspection.Artifact inspection.artifact 
Inspection.People inspection.people
Justice.Acquit justice.acquit
Justice.Appeal justice.appeal
Justice.ArrestJail justice.arrestjail
Justice.ChargeIndict justice.chargeindict
Justice.Convict justice.convict
Justice.Execute justice.execute
Justice.Extradite justice.extradite
Justice.Fine justice.fine
Justice.Investigate justice.investigate
Justice.Pardon justice.pardon
Justice.ReleaseParole justice.releaseparole
Justice.Sentence justice.sentence
Justice.Sue justice.sue
Justice.TrialHearing justice.trialhearing
Life.BeBorn life.beborn
Life.Die life.die
Life.Divorce life.divorce
Life.Injure life.injure
Life.Marry life.marry
Manufacture.Artifact manufacture.artifact
Movement.TransportArtifact movement.transart
Movement.TransportPerson movement.transper
Personnel.Elect personnel.elect
Personnel.EndPosition personnel.endpnl
Personnel.Nominate personnel.nominate
Personnel.StartPosition personnel.startpnl
Transaction.Transaction transaction.transaction
Transaction.TransferControl transaction.transfercontrol
Transaction.TransferMoney transaction.transmon
Transaction.TransferOwnership transaction.transown
