Business.DeclareBankruptcy business.decbank
Business.DeclareBankruptcy_Organization business.decbank_perorggpe
Business.DeclareBankruptcy_Place business.decbank_plc

Business.End business.endbus
Business.End_Place business.endbus_plc
Business.End_Organization business.endbus_org

Business.Merge business.merge
Business.Merge_Organization business.merge_org
Business.Merge_Place business.merge_plc

Business.Start business.startbus
Business.Start_Agent business.startbus_perorggpe
Business.Start_Organization business.startbus_org
Business.Start_Place business.startbus_plc

Conflict.Attack conflict.attack
Conflict.Attack_Attacker conflict.attack_perorggpe
Conflict.Attack_Target conflict.attack_tarperplcethg
Conflict.Attack_Instrument conflict.attack_weavehthg
Conflict.Attack_Place conflict.attack_plc

Conflict.Demonstrate conflict.demonstrate
Conflict.Demonstrate_Demonstrator conflict.demonstrate_perorg
Conflict.Demonstrate_Place conflict.demonstrate_plc

Contact.Broadcast contact.broadcast
Contact.Broadcast_Broadcaster contact.broadcast_perorggpe
Contact.Broadcast_Place contact.broadcast_plc

Contact.Contact contact.contact
Contact.Contact_Participant contact.contact_perorggpe
Contact.Contact_Place contact.contact_plc

Contact.Correspondence contact.corresp
Contact.Correspondence_Participant contact.corresp_perorggpe
Contact.Correspondence_Place contact.corresp_plc

Contact.Meet contact.meet
Contact.Meet_Participant contact.meet_perorggpe
Contact.Meet_Place contact.meet_plc

Existence.DamageDestroy existence.damagedestroy
Existence.DamageDestroy_Agent existence.damagedestroy_agentdamagedestroy
Existence.DamageDestroy_Victim existence.damagedestroy_victimdamagedestroy
Existence.DamageDestroy_Instrument existence.damagedestroy_instrument
Existence.DamageDestroy_Place existence.damagedestroy_plc

Government.Agreements government.agreements
Government.Agreements_Place government.agreements_plc
Government.Agreements_Signer government.agreements_signer

Government.Legislate government.legislate
Government.Legislate_Place government.legislate_plc

Government.Spy government.spy
Government.Spy_Agent government.spy_agentspy
Government.Spy_Beneficiary government.spy_benespy
Government.Spy_Place government.spy_plc
Government.Spy_Target government.spy_targetspy

Government.Vote government.vote
Government.Vote_Candidate government.vote_candidate
Government.Vote_Place government.vote_plc
Government.Vote_Voter government.vote_voter

Inspection.Artifact inspection.artifact
Inspection.Artifact_Inspector inspection.artifact_inspector
Inspection.Artifact_Place inspection.artifact_plc
Inspection.Artifact_Thing inspection.artifact_thginspectionartifact

Inspection.People inspection.people
Inspection.People_Inspector inspection.people_inspector
Inspection.People_Place inspection.people_per
Inspection.People_Person inspection.people_plc

Justice.Acquit justice.acquit
Justice.Acquit_Adjudicator justice.acquit_crtjdg
Justice.Acquit_Defendant justice.acquit_dfdn
Justice.Acquit_Place justice.acquit_plc

Justice.Appeal justice.appeal
